2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 1704]
2011-07-04 19:14:28 Notice: Notice (8): Undefined variable: extra in [APP/controllers/servers_controller.php, line 1731]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 4246]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 2011]
2011-07-04 19:14:28 Notice: Notice (8): Undefined variable: finished in [APP/controllers/servers_controller.php, line 2070]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  maxServiceIndex in [APP/controllers/servers_controller.php, line 2501]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  orderby in [APP/controllers/servers_controller.php, line 2506]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 2514]
2011-07-04 19:14:28 Notice: Notice (8): Undefined index:  hasHonbu in [APP/controllers/servers_controller.php, line 2688]
2011-07-04 19:14:30 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 3677]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3840]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3844]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 3848]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3852]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  NOTTRANSCODE in [APP/controllers/servers_controller.php, line 3856]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  history in [APP/controllers/servers_controller.php, line 3860]
2011-07-06 11:53:22 Notice: Notice (8): Undefined variable: misc_order in [APP/controllers/servers_controller.php, line 3888]
2011-07-06 11:53:22 Notice: Notice (8): Undefined variable: order_trantype in [APP/controllers/servers_controller.php, line 3889]
2011-07-06 11:53:22 Notice: Notice (8): Undefined variable: arrList in [APP/controllers/components/misc_function.php, line 398]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 1712]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 1716]
2011-07-06 11:53:22 Notice: Notice (8): Undefined variable: extra in [APP/controllers/servers_controller.php, line 1743]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 4281]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 2023]
2011-07-06 11:53:22 Notice: Notice (8): Undefined variable: finished in [APP/controllers/servers_controller.php, line 2082]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  maxServiceIndex in [APP/controllers/servers_controller.php, line 2513]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  orderby in [APP/controllers/servers_controller.php, line 2518]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 2526]
2011-07-06 11:53:22 Notice: Notice (8): Undefined index:  hasHonbu in [APP/controllers/servers_controller.php, line 2709]
2011-07-06 11:53:23 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 3711]
2011-07-06 11:53:41 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3840]
2011-07-06 11:53:41 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3844]
2011-07-06 11:53:41 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 3848]
2011-07-06 11:53:41 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3852]
